"Country or Area","Element","Year","Unit","Value","Value Footnotes"
"Afghanistan","Area harvested","2018","ha","31236.00","Im"
"Afghanistan","Area harvested","2017","ha","26847.00",""
"Afghanistan","Area harvested","2016","ha","19365.00",""
"Afghanistan","Area harvested","2015","ha","13038.00",""
"Afghanistan","Area harvested","2014","ha","12247.00",""
"Afghanistan","Area harvested","2013","ha","10341.00",""
"Afghanistan","Area harvested","2012","ha","9148.00",""
"Afghanistan","Area harvested","2011","ha","8863.00",""
"Afghanistan","Area harvested","2010","ha","8550.00",""
"Afghanistan","Area harvested","2009","ha","8550.00",""
"Afghanistan","Area harvested","2008","ha","7000.00",""
"Afghanistan","Area harvested","2007","ha","7000.00",""
"Afghanistan","Area harvested","2006","ha","7000.00",""
"Afghanistan","Area harvested","2005","ha","2751.00",""
"Afghanistan","Area harvested","2004","ha","2311.00",""
"Afghanistan","Area harvested","2003","ha","3935.00",""
"Afghanistan","Area harvested","2002","ha","5045.00","Im"
"Afghanistan","Area harvested","2001","ha","5482.00","Im"
"Afghanistan","Area harvested","2000","ha","5598.00","Im"
"Afghanistan","Area harvested","1999","ha","4930.00","Im"
"Afghanistan","Area harvested","1998","ha","4410.00","Im"
"Afghanistan","Area harvested","1997","ha","3748.00","Im"
"Afghanistan","Area harvested","1996","ha","3135.00","Im"
"Afghanistan","Area harvested","1995","ha","2631.00","Im"
"Afghanistan","Area harvested","1994","ha","2350.00","F"
"Afghanistan","Area harvested","1993","ha","2300.00","F"
"Afghanistan","Area harvested","1992","ha","2308.00","Im"
"Afghanistan","Area harvested","1991","ha","2346.00","Im"
"Afghanistan","Area harvested","1990","ha","2365.00","Im"
"Afghanistan","Area harvested","1989","ha","2340.00","F"
"Afghanistan","Area harvested","1988","ha","2330.00","F"
"Afghanistan","Area harvested","1987","ha","2230.00","F"
"Afghanistan","Area harvested","1986","ha","2590.00","F"
"Afghanistan","Area harvested","1985","ha","2660.00","F"
"Afghanistan","Area harvested","1984","ha","2730.00","F"
"Afghanistan","Area harvested","1983","ha","2850.00","F"
"Afghanistan","Area harvested","1982","ha","2960.00","F"
"Afghanistan","Area harvested","1981","ha","3080.00","F"
"Afghanistan","Area harvested","1980","ha","3150.00","F"
"Afghanistan","Area harvested","1979","ha","3150.00","F"
"Afghanistan","Area harvested","1978","ha","3250.00","F"
"Afghanistan","Area harvested","1977","ha","3280.00","F"
"Afghanistan","Area harvested","1976","ha","3270.00","F"
"Afghanistan","Area harvested","1975","ha","3270.00","F"
"Afghanistan","Area harvested","1974","ha","3270.00","F"
"Afghanistan","Area harvested","1973","ha","3210.00","F"
"Afghanistan","Area harvested","1972","ha","3150.00","F"
"Afghanistan","Area harvested","1971","ha","3060.00","F"
"Afghanistan","Area harvested","1970","ha","3060.00","F"
"Afghanistan","Area harvested","1969","ha","3040.00","F"
"Afghanistan","Area harvested","1968","ha","2990.00","F"
"Afghanistan","Area harvested","1967","ha","3060.00","F"
